#,term,pali definition (key),russian term,english term,reasoning,reference1,reference2,reference3,reference4,reference5,reference6,reference7
,cattāro satipaṭṭhānā,,четыре памятование-установления,,,,,,,,,
,cattāro sammappadhānā,,четыре правильно-усилия,,,,,,,,,
,cattāro iddhipādā,,"четыре сверхсил-основы (шаги, инструкции)",,,,,,,,,
,pañcindriyāni,,пять сил (стихийных),,,,,,,,,
,pañca balāni,,пять сил (способностей),,,,,,,,,
9,satta bojjhaṅgā,,семь пробуждения-аспектов,,,,,,,,,
10,ariyo aṭṭhaṅgiko maggo,,благородный восьмеричный путь,,,,,,,,,
11,pañcupādānakkhandhā,,пять-поддерживания-блоков,,,,,,,,,
12,rūpupādānakkhandho,,объекто (рупы)-поддерживания-блок,,,,,,,,,
13,vedanupādānakkhandho,,ведания-поддерживания-блок,,,,,,,,,
14,saññupādānakkhandho,,сознавания-поддерживания-блок,,,,,,,,,
15,saṅkhārupādānakkhandho,,составления-поддерживания-блок,,,,,,,,,
16,viññāṇupādānakkhandho,,различения-поддерживания-блок,,,,,,,,,
17,cakkhu,,глаз,,,,,,,,,
18,soto,,ухо,,,,,,,,,
19,ghāna,,нос ,,,,,,,,,
20,jivha,,язык,,,,,,,,,
21,kāyo,,тело,,,,,,,,,
22,mano,,"ум-представление, проецирующая часть ума",,,,,,,,,
23,paṭiccasamuppādo,,"зависимое возникновение, зависимая последовательность",,,,,,,,,
24,avijja,,Не-различение,,,,,,,,,
25,saṅkhārā,,составляющие,,,,,,,,,
26,viññāṇa,,внимание,,,,,,,,,
27,nāmarūpa,,имя-материя,,,,,,,,,
28,saḷāyatana,,шестеричная-область,,,,,,,,,
29,phasso,,касание;,,,,,,,,,
30,vedanā,,"ведание, чувствование",,,,,,,,,
31,taṇhā ,"  ""dn22:19.2"": ""Yāyaṁ taṇhā ponobbhavikā nandīrāgasahagatā tatratatrābhinandinī, seyyathidaṁ—"",
  ""dn22:19.3"": ""kāmataṇhā bhavataṇhā vibhavataṇhā. "",","сцепливание, сцепление, цепляние, липкость, ассоциация, охота (приятное желание)",,,,,,,,,
32,upādāna,,"поддерживание, удерживание",,,,,,,,,
33,bhavo,,вовлеченность,,,,,,,,,
34,jāti,,"рождение, начатие, зарождение",,,,,,,,,
35,jarāmaraṇa,,старение-умирание,,,,,,,,,
36,jara,,старение,,,,,,,,,
37,maraṇa,,умирание,,,,,,,,,
38,sokaparidevadukkhadomanassupāyāsa ,,"страдание, плач, боль, стресс, тоска",,,,,,,,,
39,kāma,"  ""an6.63:8.10"": ""Saṅkapparāgo purisassa kāmo, "",
  ""an6.63:8.11"": ""Nete kāmā yāni citrāni loke; "",
  ""an6.63:8.12"": ""Saṅkapparāgo purisassa kāmo, "",
  ""an6.63:8.13"": ""Tiṭṭhanti citrāni tatheva loke; "",
  ""an6.63:8.14"": ""Athettha dhīrā vinayanti chandanti. "",",желание,,"не чувственное желание, но просто желание потому что: 
an6.63 - желания как намерение-заготовка-страсть, а не просто множители желания (кама гуны).

an6.63 (продолжение) - желающий человек получает либо благо, либо неблаго, но ""чувственные"" желания бы вели к неблагу так как содержали бы akusalamula: lobha, dosa и/или moha.

Puriso attha-kāmo hita-kāmo yogakkhema-kāmoti kho, bhikkhave, tathāgatassetaṁ adhivacanaṁ arahato sammāsambuddhassa. “Человек, блага-желающий, пользы-желающий, от-ярма-защиты-желающий”, монахи, Татхагаты это обозначение, Араханта, Правильно Пробуждённого. mn19",,,,,,,
40,,,,,,,,,,,,
41,metta ,,"дружность, мирность",,,,,,,,,
42,karuna,,"доброта, чуткость",,,,,,,,,
43,mudita,,мягкость,,,,,,,,,
44,upekkha,,"просто-смотрение, над-смотрение, прямое-смотрение",,,,,,,,,
45,byapada,,враждебность,,,,,,,,,
46,vihesa ,,"раздражение, докучение, изведение",,"Vihese 13 текстов и 26 совпадений в 4 Nikaya + 6 KN books Pali

Sutta        Title        Quote
an2.52-63                Thero cepi maṁ vadeyya ahitānukampī maṁ vadeyya no hitānukampī, noti naṁ vadeyyaṁ viheṭheyyaṁ passampissa nappaṭikareyyaṁ.  Если старший поправит меня, то он сделает так без сочувствия, а не с сочувствием. И тогда я скажу “Нет!” и [этим] побеспокою его, и даже видя [свой проступок], я не приложу усилий к его исправлению.  If a mendicant—whether senior, middle, or junior—were to admonish me, they wouldn’t be sympathetic, and I’d bother them by saying “No!” And anyway I wouldn’t deal with it even if I saw what I did wrong.’  viheṭheyyaṁ → viheseyyampi naṁ (bj, sya-all, km, pts1ed) 
an5.166        Nirodhasutta Прекращение        “idhāvuso upavāṇa, aññe there bhikkhū vihesenti.  “Друг Упавана, они изнуряли другого старшего монаха,  “Reverend Upavāna, they’ve been harassing other senior mendicants, 
an8.14        Assakhaḷuṅkasutta Дикие жеребята        So bhikkhu bhikkhūhi āpattiyā codiyamāno ‘nevāhaṁ āpannomhi, na panāhaṁ āpannomhī’ti so tuṇhībhāvena saṅghaṁ viheṭheti.  он не говорит: “Я совершил проступок”, как и не говорит: “Я не совершал проступка”, но досаждает Сангхе своим молчанием.  But the accused mendicant neither confesses to the offense nor denies it, but frustrates the Saṅgha by staying silent.  viheṭheti → viheseti (pts1ed, mr) 
mn22        Alagaddūpamasutta  Пример со змеёй        Tatra ce, bhikkhave, pare tathāgataṁ akkosanti paribhāsanti rosenti vihesenti, tatra, bhikkhave, tathāgatassa na hoti āghāto na appaccayo na cetaso anabhiraddhi.  И если другие оскорбляют, бранят, ругают, изводят Татхагату за это, он не испытывает ни раздражения, ни горечи, ни уныния по этому поводу.  This being so, if others abuse, attack, harass, and trouble the Realized One, he doesn’t get resentful, bitter, and emotionally exasperated.  Tasmātiha, bhikkhave, tumhe cepi pare akkoseyyuṁ paribhāseyyuṁ roseyyuṁ viheseyyuṁ, tatra tumhe hi na āghāto na appaccayo na cetaso anabhiraddhi karaṇīyā.  Поэтому, монахи, если другие оскорбляют, бранят, ругают, изводят вас, по этому поводу вам также не следует испытывать ни раздражения, ни горечи, ни уныния.  So, mendicants, if others abuse, attack, harass, and trouble you, don’t make yourselves resentful, bitter, and emotionally exasperated. 
mn28        Mahāhatthipadopamasutta  Большой пример со следами слона        Tañce, āvuso, bhikkhuṁ pare akkosanti paribhāsanti rosenti vihesenti, so evaṁ pajānāti:  И потому, если другие оскорбляют, бранят, ругают, изводят монаха, он понимает так:  If others abuse, attack, harass, and trouble that mendicant, they understand:  Tañce, āvuso, bhikkhuṁ pare akkosanti paribhāsanti rosenti vihesenti.  И потому, если другие оскорбляют, бранят, ругают, изводят монаха, он понимает так:  If others abuse, attack, harass, and trouble that mendicant, they understand: 
mn50        Māratajjanīyasutta  Выговор Маре        Mā tathāgataṁ vihesesi, mā tathāgatasāvakaṁ.  Не изводи Татхагату, не изводи ученика Татхагаты,  Do not harass the Realized One or his disciple.  Mā tathāgataṁ vihesesi, mā tathāgatasāvakaṁ.      Mā tathāgataṁ vihesesi, mā tathāgatasāvakaṁ.      Mā tathāgataṁ vihesesi, mā tathāgatasāvakaṁ.      etha, tumhe bhikkhū sīlavante kalyāṇadhamme akkosatha paribhāsatha rosetha vihesetha.  “Ну же, побраните, оскорбите, поругайте, изведите нравственных монахов с благим характером.  “Come, all of you, abuse, attack, harass, and trouble the ethical mendicants of good character.  ‘etha, tumhe bhikkhū sīlavante kalyāṇadhamme akkosatha paribhāsatha rosetha vihesetha.      Atha kho te, pāpima, brāhmaṇagahapatikā anvāvisiṭṭhā dūsinā mārena bhikkhū sīlavante kalyāṇadhamme akkosanti paribhāsanti rosenti vihesenti:  И когда Мара Дуси овладел умами брахманов-домохозяев, и они побранили, оскорбили, поругали, извели нравственных монахов с благим характером так:  Then those brahmins and householders abused, attacked, harassed, and troubled the ethical mendicants of good character:  etha, tumhe bhikkhū sīlavante kalyāṇadhamme akkosatha paribhāsatha rosetha vihesetha, appeva nāma tumhehi akkosiyamānānaṁ paribhāsiyamānānaṁ rosiyamānānaṁ vihesiyamānānaṁ siyā cittassa aññathattaṁ, yathā taṁ dūsī māro labhetha otāran’ti.  “Ну же, побраните, оскорбите, поругайте, изведите нравственных монахов с благим характером. И тогда, быть может, когда вы побраните, оскорбите, поругаете, изведёте их, какие-либо колебания произойдут в их умах, и тогда, быть может, у Мары Дуси появится возможность”.  He told them to abuse you in the hope of upsetting your minds so that he can find a vulnerability. 
mn91        Brahmāyusutta  Брахман Брахмайю        “Paṇḍito, bhikkhave, brahmāyu brāhmaṇo paccapādi dhammassānudhammaṁ, na ca maṁ dhammādhikaraṇaṁ vihesesi.  “Монахи, брахман Брахмайю был мудр, он вступил на путь Дхаммы и не беспокоил меня истолкованием Дхаммы.  “Mendicants, the brahmin Brahmāyu was astute. He practiced in line with the teachings, and did not trouble me about the teachings. 
mn140        Dhātuvibhaṅgasutta  Разъяснение элементов        “Paṇḍito, bhikkhave, pukkusāti kulaputto paccapādi dhammassānudhammaṁ, na ca maṁ dhammādhikaraṇaṁ vihesesi.  “Монахи, представитель клана Пуккусати был мудр.  Он вступил на путь Дхаммы и не беспокоил меня истолкованием Дхаммы.  “Mendicants, Pukkusāti was astute. He practiced in line with the teachings, and did not trouble me about the teachings.  vihesesi → viheṭhesi (bj, sya-all, km, pts1ed); viheseti (mr) 
sn35.88        Puṇṇasutta  Пунна        “Paṇḍito, bhikkhave, puṇṇo kulaputto, paccapādi dhammassānudhammaṁ, na ca maṁ dhammādhikaraṇaṁ vihesesi.  “Монахи, монах Пунна был мудр. Он практиковал в соответствии с Дхаммой и не беспокоил меня [излишними] расспросами по Дхамме.  “Mendicants, Puṇṇa was astute. He practiced in line with the teachings, and did not trouble me about the teachings.  kulaputto → kulaputto ahosi (sabbattha) | paccapādi → paccapādī (bj); saccavādī (sya-all, km, mr) | vihesesi → viheṭhesi (csp1ed) 
sn55.3        Dīghāvuupāsakasutta  Мирянин Дигхаву        “Paṇḍito, bhikkhave, dīghāvu upāsako, paccapādi dhammassānudhammaṁ, na ca maṁ dhammādhikaraṇaṁ vihesesi.  “Монахи, мирянин Дигхаву был мудр. Он практиковал в соответствии с Дхаммой и не беспокоил меня [чрезмерными вопросами] о Дхамме.  “Mendicants, the lay follower Dīghāvu was astute. He practiced in line with the teachings, and did not trouble me about the teachings.  upāsako, paccapādi → ahosi paccapādi (bj, pts1ed); ahosi saccavādī (sya-all, km, mr) | ca maṁ dhammādhikaraṇaṁ → na ca dhammādhikaraṇaṁ (sya-all, km, pts1ed, mr) | vihesesi → viheṭhesi (itipi aññattha) 
ud1.10        Bāhiyasutta  Бахия        “Paṇḍito, bhikkhave, bāhiyo dārucīriyo paccapādi dhammassānudhammaṁ; na ca maṁ dhammādhikaraṇaṁ vihesesi.  “Мудрый, монахи, Бахия-Одежда-Из-Коры практиковал в соответствии с наставлениями и не беспокоил меня спорами о Дхамме.  “Mendicants, Bāhiya was astute. He practiced in line with the teachings, and did not trouble me about the teachings. 
ud2.4        Sakkārasutta  Уважаемый        Atha kho te aññatitthiyā paribbājakā bhagavato sakkāraṁ asahamānā bhikkhusaṅghassa ca, gāme ca araññe ca bhikkhū disvā asabbhāhi pharusāhi vācāhi akkosanti paribhāsanti rosenti vihesenti.  Они не могли вытерпеть уважения и славы, которых миряне высказывали Благословенному и Ордену его последователей и, встретив монаха в деревне или в лесу, унижали оскорбляли и провоцировали его обижающими, грубыми словами.  Then those wanderers who followed other religions, unable to bear the esteem of the mendicant Sangha, abused, attacked, harassed, and troubled the mendicants in the village and the wilderness. 
ud5.3        Suppabuddhakuṭṭhisutta  Суппабуддха-прокажённый        “Paṇḍito, bhikkhave, suppabuddho kuṭṭhī; paccapādi dhammassānudhammaṁ; na ca maṁ dhammādhikaraṇaṁ vihesesi.  “Мудрым, монахи, был Суппабуддха, он практиковал в соответствии с Дхаммой и не беспокоил меня.  “Mendicants, Suppabuddha was astute. He practiced in line with the teachings, and did not trouble me about the teachings. 

",,,,,,,
47,arati,,неприязнь,,,,,,,,,
48,patiggha,,"отражение, сопротивление",,"практически понятия из физики, а не эмоции. очень глубокий уровень namarupapaccaya phasso","dn15 ‘Nāmarūpapaccayā phasso’ti iti kho panetaṁ vuttaṁ, tadānanda, imināpetaṁ pariyāyena veditabbaṁ, yathā nāmarūpapaccayā phasso. 
Yehi, ānanda, ākārehi yehi liṅgehi yehi nimittehi yehi uddesehi nāmakāyassa paññatti hoti, tesu ākāresu tesu liṅgesu tesu nimittesu tesu uddesesu asati api nu kho rūpakāye adhivacanasamphasso paññāyethā”ti? 
“No hetaṁ, bhante”. 
“Yehi, ānanda, ākārehi yehi liṅgehi yehi nimittehi yehi uddesehi rūpakāyassa paññatti hoti, tesu ākāresu …pe… tesu uddesesu asati api nu kho nāmakāye paṭighasamphasso paññāyethā”ti? 
“No hetaṁ, bhante”. 
“Yehi, ānanda, ākārehi …pe… yehi uddesehi nāmakāyassa ca rūpakāyassa ca paññatti hoti, tesu ākāresu …pe… tesu uddesesu asati api nu kho adhivacanasamphasso vā paṭighasamphasso vā paññāyethā”ti? ",,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
